event	left_node	right_node	left_date	right_date	midpoint_date
hgt	1188	1187	2752.47	2676.31	2714.39
spe	1478	1477	3018.815	2723.605	2871.21
spe	1477	1431	2723.605	2420.455	2572.03
los	1431	1430	2420.455	1801.635	2111.045
spe	1431	1427	2420.455	2216.53	2318.4925
los	1427	1413	2216.53	1968.2	2092.365
spe	1427	1426	2216.53	1994.025	2105.2775
los	1426	GCF.001953175.1.Bacteria.Chloroflexota	1994.025	0.0	997.0125
spe	1426	1425	1994.025	1783.375	1888.7
los	1425	GCA.003229915.1.Bacteria.Chloroflexota	1783.375	0.0	891.6875
spe	1425	1424	1783.375	1648.125	1715.75
spe	1424	1422	1648.125	1519.76	1583.9425
los	1422	GCA.003484395.1.Bacteria.Chloroflexota	1519.76	0.0	759.88
spe	1422	1421	1519.76	1474.28	1497.02
los	1421	GCA.002347295.1.Bacteria.Chloroflexota	1474.28	0.0	737.14
spe	1421	1419	1474.28	1336.415	1405.3475
spe	1477	1476	2723.605	2416.915	2570.26
spe	1476	1454	2416.915	1996.555	2206.735
hgt	1463	1457	1987.575	1538.99	1763.2825
spe	1454	1446	1996.555	1803.385	1899.97
spe	1446	1445	1803.385	1577.91	1690.6475
hgt	1449	GCA.002400365.1.Bacteria.Chloroflexota	1589.82	0.0	794.91
spe	1445	1444	1577.91	1386.06	1481.985
hgt	1440	GCF.001306175.1.Bacteria.Chloroflexota	1679.715	0.0	839.8575
los	1444	GCA.003451595.1.Bacteria.Chloroflexota	1386.06	0.0	693.03
spe	1446	1440	1803.385	1679.715	1741.55
los	1440	GCF.001306175.1.Bacteria.Chloroflexota	1679.715	0.0	839.8575
spe	1440	1439	1679.715	1492.005	1585.86
spe	1439	1438	1492.005	1317.205	1404.605
los	1438	GCA.002841995.1.Bacteria.Chloroflexota	1317.205	0.0	658.6025
spe	1438	1437	1317.205	1158.264	1237.7345
los	1437	GCA.002702065.1.Bacteria.Chloroflexota	1158.264	0.0	579.132
spe	1463	1457	1987.575	1538.99	1763.2825
hgt	210	GCA.002796105.1.Bacteria.Omnitrophota	1576.255	0.0	788.1275
hgt	1109	GCA.002898895.1.Bacteria.Armatimonadota	1709.425	0.0	854.7125
spe	1454	1453	1996.555	1862.655	1929.605
spe	1453	1449	1862.655	1589.82	1726.2375
los	1449	GCA.002400365.1.Bacteria.Chloroflexota	1589.82	0.0	794.91
spe	1453	1452	1862.655	1430.125	1646.39
los	1452	GCA.002423325.1.Bacteria.Chloroflexota	1430.125	0.0	715.0625
hgt	None	dead	0.0	0.0	0.0
dup	None	dead	0.0	0.0	0.0
hgt	376	GCA.002418835.1.Bacteria.Spirochaetota	1994.345	0.0	997.1725
los	None	dead	0.0	0.0	0.0
hgt	193	GCA.001873945.1.Bacteria.UBA9089	1901.335	0.0	950.6675
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
spe	1476	1475	2416.915	2249.485	2333.2
spe	1475	1463	2249.485	1987.575	2118.53
los	1463	1457	1987.575	1538.99	1763.2825
spe	1463	1462	1987.575	1858.705	1923.14
los	1462	1461	1858.705	1519.02	1688.8625
spe	1475	1474	2249.485	2094.15	2171.8175
hgt	None	dead	0.0	0.0	0.0
hgt	746	GCF.900079095.1.Bacteria.Tectomicrobia	1667.435	0.0	833.7175
los	None	dead	0.0	0.0	0.0
hgt	1454	1446	1996.555	1803.385	1899.97
los	1474	1473	2094.15	1294.4735	1694.31175
spe	1454	1446	1996.555	1803.385	1899.97
spe	1446	1440	1803.385	1679.715	1741.55
los	1440	1439	1679.715	1492.005	1585.86
spe	1446	1445	1803.385	1577.91	1690.6475
los	1445	1444	1577.91	1386.06	1481.985
spe	1474	1470	2094.15	1749.085	1921.6175
los	1470	GCF.000025005.1.Bacteria.Chloroflexota	1749.085	0.0	874.5425
spe	1470	1469	1749.085	1574.225	1661.655
spe	1469	1467	1574.225	1431.56	1502.8925
los	1467	GCA.002440805.1.Bacteria.Chloroflexota	1431.56	0.0	715.78
hgt	167	166	1219.565	946.8465	1083.20575
los	None	dead	0.0	0.0	0.0
spe	167	166	1219.565	946.8465	1083.20575
spe	166	165	946.8465	694.719	820.78275
spe	1188	1187	2752.47	2676.31	2714.39
hgt	1462	GCA.002436065.1.Bacteria.Chloroflexota	1858.705	0.0	929.3525
spe	1187	1133	2676.31	1803.285	2239.7975
hgt	None	dead	0.0	0.0	0.0
dup	None	dead	0.0	0.0	0.0
hgt	1337	GCF.000092905.1.Bacteria.Firmicutes	1365.895	0.0	682.9475
los	None	dead	0.0	0.0	0.0
hgt	1209	GCA.002452295.1.Bacteria.Firmicutes.G	1584.4	0.0	792.2
los	None	dead	0.0	0.0	0.0
spe	1187	1186	2676.31	2550.565	2613.4375
spe	1186	1136	2550.565	1777.3	2163.9325
los	1136	GCA.003157385.1.Bacteria.Actinobacteriota	1777.3	0.0	888.65
spe	1186	1185	2550.565	2405.805	2478.185
hgt	None	dead	0.0	0.0	0.0
hgt	1208	GCA.001513145.1.Bacteria.Firmicutes.G	1446.125	0.0	723.0625
los	None	dead	0.0	0.0	0.0
hgt	None	dead	0.0	0.0	0.0
los	1185	1169	2405.805	2113.35	2259.5775
hgt	874	873	1792.455	1600.675	1696.565
los	None	dead	0.0	0.0	0.0
spe	874	873	1792.455	1600.675	1696.565
spe	873	871	1600.675	1358.76	1479.7175
los	871	GCA.002899795.1.Bacteria.Desulfobacterota	1358.76	0.0	679.38
spe	1185	1184	2405.805	2236.7	2321.2525
los	1184	1183	2236.7	1581.31	1909.005
spe	1184	1180	2236.7	1876.995	2056.8475
los	1180	GCF.001029505.1.Bacteria.Actinobacteriota	1876.995	0.0	938.4975
spe	1180	1179	1876.995	1607.105	1742.05
spe	1179	1178	1607.105	1434.165	1520.635
los	1178	1177	1434.165	1221.364	1327.7645
spe	1179	1173	1607.105	1376.77	1491.9375
hgt	1388	1274	2495.045	2255.985	2375.515
los	None	dead	0.0	0.0	0.0
spe	1388	1274	2495.045	2255.985	2375.515
spe	1274	1273	2255.985	2085.065	2170.525
spe	1273	1272	2085.065	1953.09	2019.0775
hgt	1382	1381	1907.445	1843.345	1875.395
spe	1272	1246	1953.09	1576.985	1765.0375
los	1246	GCF.000213255.1.Bacteria.Firmicutes.A	1576.985	0.0	788.4925
spe	1246	1245	1576.985	1401.9	1489.4425
los	1245	GCF.900129115.1.Bacteria.Firmicutes.A	1401.9	0.0	700.95
spe	1382	1381	1907.445	1843.345	1875.395
spe	1381	1380	1843.345	1785.675	1814.51
los	1380	GCF.001049895.1.Bacteria.Firmicutes	1785.675	0.0	892.8375
spe	1380	1379	1785.675	1743.235	1764.455
los	1379	1378	1743.235	1618.42	1680.8275
spe	1379	1355	1743.235	1426.77	1585.0025
los	1355	GCF.000503775.1.Bacteria.Firmicutes	1426.77	0.0	713.385
spe	1381	1351	1843.345	1688.26	1765.8025
los	1351	1350	1688.26	1481.1	1584.68
spe	1351	1347	1688.26	1373.121	1530.6905
hgt	1341	GCF.001311905.1.Bacteria.Firmicutes	1523.81	0.0	761.905
spe	1272	1271	1953.09	1755.96	1854.525
spe	1271	1270	1755.96	1598.315	1677.1375
spe	1270	1264	1598.315	1360.255	1479.285
los	1264	GCA.900317035.1.Bacteria.Firmicutes.A	1360.255	0.0	680.1275
spe	1264	1263	1360.255	1096.349	1228.302
los	1263	GCA.002308775.1.Bacteria.Firmicutes.A	1096.349	0.0	548.1745
spe	1270	1269	1598.315	1451.62	1524.9675
hgt	1655	GCA.001771505.1.Bacteria.Margulisbacteria	1788.135	0.0	894.0675
hgt	1252	GCF.900107485.1.Bacteria.Firmicutes.A	1387.715	0.0	693.8575
hgt	1375	GCF.000178255.1.Bacteria.Firmicutes	1363.0	0.0	681.5
hgt	216	GCA.001805575.1.Bacteria.Omnitrophota	1386.785	0.0	693.3925
hgt	1216	1215	1902.285	1418.775	1660.53
los	1269	1268	1451.62	1275.485	1363.5525
spe	1216	1215	1902.285	1418.775	1660.53
spe	1271	1259	1755.96	1686.58	1721.27
spe	1259	1258	1686.58	1451.145	1568.8625
hgt	1288	1287	1620.075	1424.27	1522.1725
los	1258	1257	1451.145	1285.645	1368.395
spe	1288	1287	1620.075	1424.27	1522.1725
spe	1287	1285	1424.27	1338.6	1381.435
los	1285	1284	1338.6	1065.8455	1202.22275
spe	1285	1281	1338.6	1109.4215	1224.01075
los	1281	1280	1109.4215	950.2895	1029.8555
spe	1259	1253	1686.58	1548.89	1617.735
hgt	1292	GCF.000024605.1.Bacteria.Firmicutes.B	1516.66	0.0	758.33
hgt	267	GCA.002428325.1.Bacteria.UBP4	2213.055	0.0	1106.5275
los	1253	1252	1548.89	1387.715	1468.3025
hgt	1327	1326	2263.0	2039.05	2151.025
los	1273	GCF.000166335.1.Bacteria.Firmicutes.A	2085.065	0.0	1042.5325
spe	1327	1326	2263.0	2039.05	2151.025
spe	1326	1325	2039.05	1862.485	1950.7675
los	1325	1297	1862.485	1576.575	1719.53
spe	1325	1324	1862.485	1779.53	1821.0075
spe	1324	1323	1779.53	1708.06	1743.795
hgt	801	GCA.001797815.1.Bacteria.RBG.13.61.14	1810.17	0.0	905.085
los	1323	1322	1708.06	1384.555	1546.3075
spe	1323	1319	1708.06	1607.725	1657.8925
spe	1319	1318	1607.725	1519.645	1563.685
los	1318	1317	1519.645	1148.381	1334.013
spe	1318	1312	1519.645	1284.875	1402.26
los	1312	GCF.002607855.1.Bacteria.Firmicutes.B	1284.875	0.0	642.4375
hgt	1425	GCA.003229915.1.Bacteria.Chloroflexota	1783.375	0.0	891.6875
spe	1324	1308	1779.53	1606.55	1693.04
spe	1308	1307	1606.55	1451.1	1528.825
spe	1307	1305	1451.1	1336.995	1394.0475
los	1305	1304	1336.995	1096.0955	1216.54525
spe	1308	1300	1606.55	1333.34	1469.945
hgt	1315	GCF.002224645.1.Bacteria.Firmicutes.B	955.8	0.0	477.9
los	1300	GCF.000620305.1.Bacteria.Firmicutes.B	1333.34	0.0	666.67
spe	1326	1292	2039.05	1516.66	1777.855
hgt	1461	GCA.002347925.1.Bacteria.Chloroflexota	1519.02	0.0	759.51
hgt	1304	GCA.002352935.1.Bacteria.Firmicutes.B	1096.0955	0.0	548.04775
hgt	1280	GCF.900104455.1.Bacteria.Firmicutes.C	950.2895	0.0	475.14475
hgt	198	GCA.001871015.1.Bacteria.Desantisbacteria	1971.4	0.0	985.7
hgt	1029	GCA.001777915.1.Bacteria.Edwardsbacteria	1661.26	0.0	830.63
los	1292	GCF.000024605.1.Bacteria.Firmicutes.B	1516.66	0.0	758.33
hgt	1216	GCF.000020005.1.Bacteria.Firmicutes.D	1902.285	0.0	951.1425
hgt	None	dead	0.0	0.0	0.0
hgt	1221	GCA.002375925.1.Bacteria.Firmicutes.E	1546.995	0.0	773.4975
los	None	dead	0.0	0.0	0.0
spe	1274	1240	2255.985	1697.815	1976.9
hgt	1297	1296	1576.575	1436.52	1506.5475
hgt	1218	GCA.001513125.1.Bacteria.DTU030	2397.09	0.0	1198.545
hgt	1233	GCA.002291985.1.Bacteria.Firmicutes.E	1196.4	0.0	598.2
spe	1297	1296	1576.575	1436.52	1506.5475
